POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
bxzhdn | 2025-02-21 | 초콜릿 다크초코 맛인가욥?ㅠㅠ
_kxxgwngid | 2025-03-05 | @jumtwolly ㄱㄱ
j_sol_7 | 2025-02-22 | @jungtae52 빽다방 보이면 이거 사줘어어엉~~헤헤ㅎ
s._.cong | 2025-02-25 | @meng_meng2 우앙
linonie_ | 2025-03-11 | @bae.ssy 이거이거이거이거이거이거
noname.vd | 2025-02-22 | @1__0_1__0
jyouuy | 2025-02-24 | @bell__hoo 히잉
kk_______kkb | 2025-03-10 | @ssolssol_spinning_ 빽다방..달려
seolri_k | 2025-02-23 | @yongk___
x__x.down | 2025-03-09 | @x__x.up 도점?
c.lne__ | 2025-03-12 | @ok__cut
xer_aj_13 | 2025-02-23 | 우리집 옆이 빽다방인데 바로가야지
jju__ha__ | 2025-02-22 | @j_y_oon, @zlzone_zlrlo
cldjs_ | 2025-02-22 | @ouiioi_ 먹자미친
bomeei | 2025-02-22 | @jh_yunggg
p1zza1uv | 2025-03-05 | 왁
gu_yomi_ | 2025-02-20 | @i.am__yong 오빠앙
zerossujin | 2025-02-21 | 먹어보고싶지만 용돈의 반을 갉아먹는 금액이라 슬프네요
orangeyminerva | 2025-02-22 | 밀크초콜릿이 아니라 다크초콜릿이라 아쉽네요
yeppii_eun | 2025-02-22 | @minixmino
_zzi.n__ | 2025-02-22 | @serendipity__miii @heedogim 이거라도…?!
j_a__kyj | 2025-02-21 | @mun_gyun 균아 빨리 가게 앞에 빽다방 다녀와
kx_xseoha | 2025-02-21 | @qkdrn55
chaeeun_1052 | 2025-02-21 | @joheonmyeong
s__._._.__s | 2025-02-21 | @tjdmseyo 모야..
_a__y._ | 2025-02-21 | @_dg0826
yuhwa1121 | 2025-02-21 | @heedo_0907 사줘
dayoung._.113 | 2025-02-21 | @ljinyoung1007
dudrudgkfn | 2025-02-21 | @by_j.sta
es.kim_1117 | 2025-02-21 | @yseo_kim
lua0526 | 2025-02-21 | @m__in_e ❤️
128wwin2 | 2025-02-25 | 조정식쌤 닮았어요
iseul92 | 2025-02-27 | @czs9595
l_o.o__i | 2025-03-29 | 아 왜 저희집 근추에 없냐거여ㅜㅜ
dawoon_c | 2025-04-10 | @8um_j8n
_mim_ji | 2025-06-14 | @yeo_ji_min
jj_8076 | 2025-06-20 | 두바이초코맛중에서 가장 맛있는거데로 순위도 해주세용 두바이초코빵 쿠키 등등❤️❤️
jm_auni333 | 2025-06-29 | 아직도 판매 하나요????
dolim_pangiveyou | 2025-07-21 | 머리색 바꾸면 더 괜찮을것 같애용
w_changhee | 2025-07-22 | @doha_0903",Instagram
hongji_2024-11-25,,"🔥 핫치즈싸이순살 + 치즈볼 🧀 맵찔이도 중독시켜버린 요물같은 이 양념,, 매운데 진짜 깔끔하게 매워서 맛있어요!! 월요일은 힘드니까 치킨 한 사바리 ~ 🍗 맘스터치 핫치즈싸이순살 @momstouch.love","#asmr, #asmrmukbang, #mukbang, #chicken, #spicyfood, #koreanchicken, #cheeseballs, #핫치즈싸이순살, #맘스터치, #치킨맛집, #치킨먹방, #치즈볼",hongji,2024-11-25,2.9만,"walters_korea | 2024-11-26 | 🙌🙌🙌🙌🙌🙌
tamagosandooo | 2024-11-26 | 댑악 맘스터치에서 젤 좋아하는 것들인뎁ㅜㅜ ♥♡
moon_mmm_03 | 2024-12-06 | 치즈볼이 달달 진짜 개맛도리라서 잘어울리겟다
xeoowoo | 2024-12-22 | 맵나여??
eun_kxon123 | 2024-12-03 | 매운맛 어떤가요 불싸이버거?
bbyuingbbyo | 2025-01-01 | 이거 진짜 밥이랑 먹으면 개맛이쏘요
riiiwoo | 2025-05-19 | 이거랑 슈프림이랑 차이점이머에요??
z.e.o.m | 2024-11-28 | 미쳤다..
y._____.seon_ | 2024-11-27 | @jaemin94_ 먹으면 금방 물리는데 또 보니까 먹고싶다,,
water.c0ng | 2024-12-06 | @0n1yone__ @96.hy.____.un 우리 이거 먹어보짜
luna_y_eun | 2024-12-10 | @__js__hhh 아 진자,, 나 이거 너무 먹고싶ㅇ
xxanzzzz | 2024-12-02 | @hyosue_ 오?;;
comet0809 | 2024-11-27 | @tango_maru 어제 종환이가 먹은거 봤나봐~~
crushonmebabe | 2024-11-29 | @hsh_2917 이거먹고싶다
hinyez | 2025-04-21 | @th_owo 이렇게안왓자나..
dozzi__i | 2025-01-07 | @hyeddemi 배고파
_su._.yomi_ | 2024-11-27 | @hyun._.dungii 이거 무보쟈
chaeyeoneeeee | 2025-03-31 | @yeo_n_iiiiiiii 금촌역 9시에 열던데 낼 먹을꾸 ^^ㅣfire
zzulziz | 2025-07-16 | @sheep_jhxx 이거 먹어봐써?한번도 안 먹어봤는데..먹어볼깡..
pkyoungjin | 2024-11-29 | @kim.yh217 응?
1piece600g | 2025-01-05 | @byeong_gyu
soonjung0108 | 2024-11-27 | @sjh.x_x 먹고싶다
hyun_jinyyy | 2024-11-25 | @kkodong45
wxweihsajhi_9988230 | 2024-12-05 | 치킨은 케엪씨인데
y_ddla | 2024-12-14 | @i_shyi
3_7_92 | 2024-12-11 | @ronavely @su__in9 다음은 이고 ?
seo_yoon3794 | 2024-12-05 | @ju_hyun1208
_lego_97 | 2024-12-16 | 랜치소스에 찍어먹으면 ㄹㅇ 극락입니다
kimnaayeon | 2024-12-11 | @h_jjuuuu._.ho
_____yxung | 2024-12-24 | @ssangmii
silverrrrrrrrrain | 2024-11-27 | @daejeon_is_you
mangmangmi_v | 2024-11-27 | @uisdom
uuu__nnnyyy | 2024-11-29 | @jaeee_eny @mii_do_ony @won006600 추천~~~치밥 ㄱ
blue_j_ice | 2025-03-19 | @purple.1201 미쳣어ㅜㅜ
o_.mi_ | 2024-11-29 | @kki._.bbo ..
seong_gwan__ | 2025-01-07 | @hrim_kong
yeonda_98 | 2025-01-07 | @hn10._.09
nazyar_ali | 2025-03-15 | girl change your hair color to light brown i think it is your color
hyo_miniverse | 2024-12-18 | 처음으로 먹었을땐 불닭소스 + 신라면 가루 맛 난다? 이랬는데 다른곳에서 시켰을땐 졸라 매웠 ㅠㅠ😂
g_y_g_y_ | 2025-03-28 | 안맵던뎅..
im__pj | 2025-04-11 | 1800칼로리.. 하
shim_ssu | 2025-04-19 | @k_se0hyu_n 맘터치킨 머글까
2.2m2u | 2025-04-22 | 와 진짜 개맛도리도리겟다
nipang2 | 2025-05-16 | @kkyungvely 바삭함 미쵸따ㅠㅠㅠ
zzae_rin | 2025-05-21 | @beom__hee
sofyan_hadyer_erswofy_ | 2025-07-21 | ❤️❤️",Instagram
hongji_2025-07-30,,"🦀빠작한 빠다크랩 왕창 들어간 치킨?! 살다살다 이런 치킨은 처음 보는디 존맛 양념+숯불향+빠작한 빠다크랩+ 갈릭후추 후레이크 감칠맛 = 극락이에요,,🌈 바삭한 치킨 안에 치즈 왕창 든 모치치랑도 넘 잘 어울려서 추천🌟 민생회복소비쿠폰 사용도 가능하니까 얼른 먹어보기~! 🏷️","#광고, #기영이숯불두마리치킨, #빠다크랩숯불치킨, #asmr, #mukbang, #asmrmukbang, #eatingshow, #koreanfood, #モッパン, #chicken, #치킨추천, #야식, #치킨맛집, #구성환, #오뚜기순후추, #원피스, #모치치",hongji,2025-07-30,430,"chu.berup_jmt | 2025-07-30 | 갈릭후추 ㄹㅇ 쟁이고 싶음🤤
ha_.ri_n0 | 2025-07-30 | 우왘 넘 마싯서 보여요 !! 크랩 지짜 잘어울릴거 같아요 🤤
bori_xxn | 2025-07-30 | 숯불향 솔솔 빠다크랩이라니!!
lse_t.diary | 2025-07-30 | 납작만두 맛있겠어요!! 크랩이랑 같이 와",Instagram
hongji_2025-07-29,,"두바이떠먹치케는 처음 보시죠? 저두요ㅠ🤤 쿠키도 진짜 미친놈인 것,,,, *사장님께서 맛보라고 보내주신 건데 공익을 위해 올립니다,,🤤 🏷️","#부산, #허대빵, #asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #디저트먹방, #두바이초코, #베이글산도, #쫀득빵, #부산빵지순례",hongji,2025-07-29,1999,"a_h_j_1129 | 2025-07-29 | 와~ 진심 넘 맛있어 보이는데요? ㅎㅎㅎㅎ
bori_xxn | 2025-07-29 | 1994 두바이 진짜 존맛이에요 추천추천😍
lse_t.diary | 2025-07-29 | 두바이 떠먹치케요???!! 진짜 맛있어보여요!!
qxxcse | 2025-07-30 | 아진짜말도안돼엉엉
hj_11_22 | 2025-07-29 | 우유 맛별로 먹어주세요37트❤️❤️
_yesslf.myrtle | 2025-07-30 | 드셔본 두바이 중에 하나만 추천한다묜 모예요?!
__blossom.jj | 2025-07-29 | 립 어디껀지 궁금해요😮
wiru_rxmx | 2025-07-29 | 영상보자마자 라인업 보러갔는데 요즘은 떠먹치케 안파시나봐요오 ….😢😢
xute.17 | 2025-07-30 | 우와소리미쳤어요ㅜㅜㅜㅠㅠㅜㅜ두바이먹방의대장.두바이먹방의권위자.
yaekoznmg | 2025-07-30 | 진짜 언니가 되고 싶어요………..
betternoew | 2025-07-30 | 떠먹치케 다음 순위들도 궁금해요오…🥹
kongkongkiwi | 2025-07-29 | 아니언니근데왜갈수록이뻐져요?진짜뭐야😍
