POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
asong._.14 | 2025-07-16 | 얼음에 담군 와삭바?...
newtear11 | 2025-07-16 | 1주좋아요 2개답글 달기
gimjian596 | 2025-07-16 | 그 고드름인가??
10yxx.u | 2025-07-16 | 엇 저거 그 여름 한정판아이스크림이다
seojin_1411 | 2025-07-16 | 어떡해 만드셨나영?
lining1447 | 2025-07-16 | 캔디바 아니예요?
_alla_sujin__ | 2025-07-16 | 뽕따 소다맛!!
hy_unwoo1125 | 2025-07-16 | 드라이 아이스 넣었음?????????
h_ar.o34 | 2025-07-17 | 캔디바…?
hr.jh0000 | 2025-07-17 | 나만 화장법 바꾸면 더 예쁠거같다고 생각하나
_amyee_kawaii | 2025-07-17 | AI or real
rys_0814 | 2025-07-17 | 맛있겠네용🧊🧊🧊
le.jwxdns | 2025-07-17 | ❤️
gimjiu2897 | 2025-07-17 | 비행기 값 어떡함 ㅋㅋ
juwon00_15 | 2025-07-18 | 소다맛 날것같음(?)
bae.hj0929 | 2025-07-18 | ㅂㅎㄴ ㄴㅈㅇㄷ
kirana_citra_5729636733_ | 2025-07-18 | Waw
sa.rang8253 | 2025-07-18 | 남극 재미있오여?
asmr_3562 | 2025-07-19 | 넘 맛있어보여요!!
nw14.1106 | 2025-07-19 | คืออะไร
bx.damu | 2025-07-20 | 북금곰 집 어떡해요...
si.yul119 | 2025-07-21 | 연기 어떻게 낸거에요? 진짜 난건가?
n________e___h_____a__________ | 2025-07-22 | 🤤🤤 Yummy
filistin_muslumann_davasidir | 2025-07-22 | Ablayı yapay zeka sandım 😂
seo.jin0302 | 2025-07-23 | 진짜 에이아이 먹방은 프롬서희님이 젤로 잘하심..👏🔥
dwa_drunkwithoutalcohol | 2025-07-25 | 드라이아이스 드신거 아니죠..?아니죠..??
seowoo898 | 2025-07-26 | 진짜 미치셨어요?
seowoo898 | 2025-07-26 | 😂
15z.jxmii | 2025-07-27 | 어떠게 만들어어요
nay.x819 | 2025-07-27 | 북극곰의 서식지가😢
quail.1031213 | 2025-07-29 | 나도 한번쯤 먹고싶당 ㅜㅜ
nahy_e12 | 2025-07-29 | 여러분 할때 너무 귀여벙",Instagram
fromseohee.csv_2025-07-13,,"AI 속 유리과일, 실제로 만들면 이렇게 됩니다🍎 성공 vs 실패! 여러분의 생각은?🤭",,fromseohee.csv,2025-07-13,3416,"jae_hyun_22 | 2025-07-15 | 오우 대박인데용❤️❤️
dishwk77 | 2025-07-13 | 와 정성이..🔥 당연 성공이져😍
mukstar_md | 2025-07-14 | 완전 금손이세여❤️😍❤️
