COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
95,anunu.kr.csv_2025-07-21,park_jihoon369,어쩐지 갑자기많아지더라,2025-07-22,anunu.kr
96,anunu.kr.csv_2025-07-21,jangyuju386,옛날에 인기 없을때 많이 먹었는데 그땐 지겨웠었는데...,2025-07-22,anunu.kr
97,anunu.kr.csv_2025-07-21,e0e.he_r0,사이다 넣으먼 맛있겠다,2025-07-22,anunu.kr
98,anunu.kr.csv_2025-07-21,taewu48,나만 몰래 먹던 꿀간식이였는데 이제 못구하겠다ㅠ,2025-07-23,anunu.kr
99,anunu.kr.csv_2025-07-21,kimeleotype,이거 개맛잇는데 아할점가면 무조건 이거삼,2025-07-23,anunu.kr
100,anunu.kr.csv_2025-07-21,yuji_n721,저거 개 달음,2025-07-23,anunu.kr
101,anunu.kr.csv_2025-07-21,jfp0903,저거 슬러쉬에 넣어먹으면 개 맛도리,2025-07-23,anunu.kr
102,anunu.kr.csv_2025-07-21,hahaha_130618,슬러시랑 같이 먹으면 더 맛있음,2025-07-23,anunu.kr
103,anunu.kr.csv_2025-07-21,mong_ryong15,ㅏㅈ없..,2025-07-23,anunu.kr
104,anunu.kr.csv_2025-07-21,yx_.r13,저거 아폴로 맛 나던데,2025-07-23,anunu.kr
105,anunu.kr.csv_2025-07-21,_sx.hyun13,나 저거 되게 어릴때 진짜 좋아했는데 ㅠㅜ,2025-07-23,anunu.kr
106,anunu.kr.csv_2025-07-21,omg_ra_hee_,ㅈㅂ얼음우유 만들어서 담궈서 먹어주세요ㅜ,2025-07-24,anunu.kr
107,anunu.kr.csv_2025-07-21,dla._.hg,@hyeon_6953 내 아이스크림가게 최애 소문났어,2025-07-24,anunu.kr
108,anunu.kr.csv_2025-07-21,nnnn_woman_15,젼태부 (젼언니 태그 부탁),2025-07-24,anunu.kr
109,anunu.kr.csv_2025-07-21,rlarnwls10,나 어릴때 바삭하게 많이 만들어서 먹었는데,2025-07-24,anunu.kr
110,anunu.kr.csv_2025-07-21,hanjimin104,저거 동결하면 신기할듯,2025-07-25,anunu.kr
111,anunu.kr.csv_2025-07-21,yerinniii77,배경이랑 효과음 없는것도 듣고싶다...😢,2025-07-25,anunu.kr
112,anunu.kr.csv_2025-07-21,m.xah5,저거 불에 구워도 맛있어요,2025-07-26,anunu.kr
113,anunu.kr.csv_2025-07-21,ta._xeun_,저도 친구랑 장난 으로 해 보다가 바삭해 졌어요❤️,2025-07-26,anunu.kr
114,anunu.kr.csv_2025-07-21,hayoon3875,예전에 몇번 먹어봤었는데,2025-07-26,anunu.kr
115,anunu.kr.csv_2025-07-21,svxun.4,저거 나만 아는 찐템이엇는데….ㅠ 그래도 유명해져서 조아여,2025-07-26,anunu.kr
116,anunu.kr.csv_2025-07-21,yuju_2695,방학이니까 함 먹어야지~,2025-07-26,anunu.kr
117,anunu.kr.csv_2025-07-21,najiyu1207,저거 4학년때 처음 먹고 유행했으면 좋다고 했는데 이제야 유행 시작이네,2025-07-28,anunu.kr
118,anunu.kr.csv_2025-07-18,mins296,아주머니 왜 누누님 한태 막말해ㅠㅠ,2025-07-19,anunu.kr
119,anunu.kr.csv_2025-07-18,snmzgw,누누님 2019년도에 틱톡에서 보고 사랑에 빠졌었는데.. 잘생견서요,2025-07-19,anunu.kr
120,anunu.kr.csv_2025-07-18,jeonseol11,와 맛있겠㉰🥵,2025-07-19,anunu.kr
121,anunu.kr.csv_2025-07-18,cjxjjddkjc,몽골선선하고좋조ㅠㅠ,2025-07-20,anunu.kr
122,anunu.kr.csv_2025-07-18,ryujian492,숙제하고있는 사람 나에요 나,2025-07-19,anunu.kr
123,anunu.kr.csv_2025-07-18,kangsoyeon74861,맛있겠따🥲🤤,2025-07-18,anunu.kr
124,anunu.kr.csv_2025-07-18,eugene_uni11,누누님 칼로리 바란스 요거트 먹방 해주세요!,2025-07-19,anunu.kr
125,anunu.kr.csv_2025-07-18,klw._.05,배고파 요 누누님 시간 공격,2025-07-18,anunu.kr
126,anunu.kr.csv_2025-07-18,haesom_vely,제품정보 알려주실수있나욥 ㅠㅠ,2025-07-19,anunu.kr
127,anunu.kr.csv_2025-07-18,enerelminjae,우리엄마 몽골인이신데,2025-07-19,anunu.kr
128,anunu.kr.csv_2025-07-17,hhyyeeoz,올영에서 세일하면 하나에 3500원이던데욥...,2025-07-18,anunu.kr
129,anunu.kr.csv_2025-07-17,hen___e,갠적으로 젤리 너무 좋아하고 마시멜로우 너무 싫어하는데 얜 그냥 젤리가 아니고 마시멜로우 그 잡채던데......혹시 얼려서 먹으면 더 맛있나용??,2025-07-21,anunu.kr
130,anunu.kr.csv_2025-07-17,h_young864,아 먹어보고싶엏는델!!,2025-07-17,anunu.kr
131,anunu.kr.csv_2025-07-17,03mr24,드디어 오리지널 구매❤️,2025-07-18,anunu.kr
132,anunu.kr.csv_2025-07-17,jua__han,와 오리지널을!! 저 구매했어요ㅠㅠ 빨리와라아~~~,2025-07-17,anunu.kr
133,anunu.kr.csv_2025-07-17,yoon_2dn,아누누님 동결건조 가능하세요? 맛있을것 같은데요,2025-07-22,anunu.kr
134,anunu.kr.csv_2025-07-17,_yellmust_,아누누님 상세페이지 저만 오류뜨나용 ㅜ,2025-07-17,anunu.kr
135,anunu.kr.csv_2025-07-17,rami__0216,와..어제 낮에 주문했는데 배송 누락 됐다고 하네요....문의 드렸는데 제가 잘못한줄 알고 있었는데 이런 억까가 다 있다뇨ㅠㅠ 오늘 받았어야 할 드럼스틱을 못받았으니 이번 이벤트라도 꼭 당첨이 되어 봐야겠어요 넌 내가 어캐든 받는다 딱 기다려라ㅜㅠ,2025-07-18,anunu.kr
136,anunu.kr.csv_2025-07-17,eun07170,젤리좋아해서 편의점꺼 아직 안먹어봫지먼 공구부터 삼...,2025-07-26,anunu.kr
137,anunu.kr.csv_2025-07-17,_yellmust_,어 퇴근하고봄 사러가야지,2025-07-17,anunu.kr
138,anunu.kr.csv_2025-07-17,haemil_11,바로주문했어요😍감사합니다.행복한공구에요^^,2025-07-18,anunu.kr
139,anunu.kr.csv_2025-07-17,ibnaimostofa,잘 먹네~,2025-07-17,anunu.kr
140,anunu.kr.csv_2025-07-17,su.xrr,드럼스틱 얼음물에 넣어서 먹어주세여,2025-07-22,anunu.kr
141,anunu.kr.csv_2025-07-17,siyeon2155,스위즐스 요거트랑 먹어주세여ㅕ,2025-07-26,anunu.kr
142,anunu.kr.csv_2025-07-17,xin______xx___,옴뫄 완전 환영홬영,2025-07-17,anunu.kr
143,anunu.kr.csv_2025-07-17,midorifruits,구매완료라구요👏,2025-07-17,anunu.kr
144,anunu.kr.csv_2025-07-17,yoon_ji09,@yeoniii39 야승연아 찌호는 이거 모루니!!!,2025-07-18,anunu.kr
145,anunu.kr.csv_2025-07-17,es___batssal,구매완료👏,2025-07-17,anunu.kr
146,anunu.kr.csv_2025-07-17,kkam_bbong,맛보기2세트 구매여😍 빨리와라~~~~❤️,2025-07-17,anunu.kr
147,anunu.kr.csv_2025-07-17,anunu.kr,[🎁아누누 x 스위즐스 구매인증 이벤트 🎁],2025-07-17,anunu.kr
148,anunu.kr.csv_2025-07-17,jeonghyedu,도착했따!! 잘먹어볼게유ㅋ,2025-07-23,anunu.kr
149,anunu.kr.csv_2025-07-17,hwee_na96,구매완😍,2025-07-27,anunu.kr
150,anunu.kr.csv_2025-07-17,rud1234569,주문완료😍,2025-07-23,anunu.kr
151,anunu.kr.csv_2025-07-17,mo_om__miji,저도 사우어맛이 제 원픽이에요!,2025-07-27,anunu.kr
152,anunu.kr.csv_2025-07-17,m__y.317,주문완료 너모 기대대 🥹🥹🥹,2025-07-26,anunu.kr
153,anunu.kr.csv_2025-07-17,yewonkim_p,주문했는데 너무 기대된다..ㅠㅠ역시 시키길 잘했어..,2025-07-27,anunu.kr
154,anunu.kr.csv_2025-07-17,lepidoctor_art,궁금해서 사봄 ㅎㅎ,2025-07-26,anunu.kr
155,anunu.kr.csv_2025-07-17,h_yun_ji_923,@m_in_ji_621 샀다..,2025-07-24,anunu.kr
156,anunu.kr.csv_2025-07-17,j_0m6,민생지원금 되나요 ㅎㅎ,2025-07-25,anunu.kr
157,anunu.kr.csv_2025-07-17,acmems,구매완☆,2025-07-27,anunu.kr
158,anunu.kr.csv_2025-07-17,0909_study,빨리왔음 좋겠다,2025-07-26,anunu.kr
159,anunu.kr.csv_2025-07-17,sehee829,홀린듯이 구매해벌임..😳,2025-07-27,anunu.kr
160,anunu.kr.csv_2025-07-17,yeon.2l,젤리라기보다는 마시멜로식감이네요..ㅠㅠ하나먹고 다 버리뮤ㅠㅠ,2025-07-25,anunu.kr
161,anunu.kr.csv_2025-07-17,s2.bbo.s2,"사지마요 여러분.. gs꺼가 훨배마싯슴둥,,",2025-07-26,anunu.kr
162,anunu.kr.csv_2025-07-17,sheltie.reo,gs25에서 판매하는 제품이랑은 다른건가요??,2025-07-23,anunu.kr
163,anunu.kr.csv_2025-07-17,je_0614,구매완료❤️🙌,2025-07-17,anunu.kr
164,anunu.kr.csv_2025-07-17,l_sangguo_x.x_,바로 구매했어요🔥🔥,2025-07-17,anunu.kr
165,anunu.kr.csv_2025-07-17,suhwalim0523,맛보기 2세트 구매완료~^^ 배송받아서 먹고 이벤트 기간안에 또 쟁이러 갈거예요😍,2025-07-17,anunu.kr
166,anunu.kr.csv_2025-07-17,nari_jjo,구매완료😍😍,2025-07-17,anunu.kr
167,anunu.kr.csv_2025-07-17,h9load,더블딥은 없나요? ㅠㅠ,2025-07-17,anunu.kr
168,anunu.kr.csv_2025-07-17,dream__of__traveling,제가좋아하는 맛잇는 젤리 🙌어서와라 다이어트중에 야금야금,2025-07-17,anunu.kr
169,anunu.kr.csv_2025-07-17,0o_xumx,이거 올리브영이랑 cu에더 팔아요!,2025-07-18,anunu.kr
170,anunu.kr.csv_2025-07-17,sunnymiya00,구매했습니다~ 맛보고싶었는데 기대 됩니다😍,2025-07-18,anunu.kr
171,anunu.kr.csv_2025-07-17,so.setwni,@ah.reum.__ 너도 인기에 일조했지ㅎㅎ,2025-07-18,anunu.kr
172,anunu.kr.csv_2025-07-17,nkyungm,캬 덕분에 샀습니다👏 감사합니다,2025-07-19,anunu.kr
173,anunu.kr.csv_2025-07-17,0dlanr,아누누님 믿고 구매햇어요😮,2025-07-19,anunu.kr
174,anunu.kr.csv_2025-07-17,6060jeje,으누오빠 체고체고체고입니다 😍😍,2025-07-20,anunu.kr
175,anunu.kr.csv_2025-07-17,ih_lt.14,구매 해버렸어요 .. 간식 그만 사야되는데 !! 어쩔수 없지 맛있게 먹겠습니당 🙌🏻❤️,2025-07-21,anunu.kr
176,anunu.kr.csv_2025-07-17,marchcsms,너무 기대됩니당!! 바로 구매 했어요🙌🙌🙌,2025-07-22,anunu.kr
177,anunu.kr.csv_2025-07-17,zldnlzx,송중기 닮았어요,2025-07-23,anunu.kr
178,anunu.kr.csv_2025-07-17,xxitiger,대박적 맛또리...,2025-07-23,anunu.kr
179,anunu.kr.csv_2025-07-17,zoom___kim,오렌지맛이 맛있다고하셨는데 그거해주심 더좋을텐데요 😢,2025-07-23,anunu.kr
180,anunu.kr.csv_2025-07-17,mimymei,@blueboyoung 사야게찡,2025-07-23,anunu.kr
181,anunu.kr.csv_2025-07-17,hxunsz_,퇴근하자마자 배송 온 거 뜯어 먹고 있는데 와타시두 싸-월이 원픽..!!!!!!🥵,2025-07-23,anunu.kr
182,anunu.kr.csv_2025-07-17,chgml233,@hitchu._.o3o 이거 히수최애 아니냐구,2025-07-23,anunu.kr
183,anunu.kr.csv_2025-07-17,haemil_11,언니 내가 좋아하는 분.^^ 여기서 구입했어요.@jeong_hwa0314 /31일까지😍,2025-07-24,anunu.kr
184,anunu.kr.csv_2025-07-17,3zzanggu3,드뎌 구매^ 감사해요^^,2025-07-28,anunu.kr
