VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM,KEYWORD_ID
아누누_20250731,소스에 푹 찍어먹는 반달도넛,,아누누,2025-07-31,PT1M5S,60010,1443,26,youtube,341
아누누_20250730,편의점 화채 4배 맛있게 먹는법,,아누누,2025-07-30,PT1M3S,129143,3065,56,youtube,998
아누누_20250729,파삭 새로운 맛 출시임박 브이로그,,아누누,2025-07-29,PT2M40S,162991,3951,56,youtube,178
아누누_20250728,진짜 과일같은 수제젤리 모둠,,아누누,2025-07-28,PT2M7S,423961,12146,91,youtube,111
아누누_20250726,처음으로 음식 먹방을 해 본 사연,,아누누,2025-07-26,PT1M1S,95736,2033,36,youtube,61
아누누_20250722,요거트 분수와 망고 납작복숭아,,아누누,2025-07-22,PT1M3S,184905,3971,66,youtube,56
아누누_20250721,해외에서 난리난 한국 바삭한 마시멜로,,아누누,2025-07-21,PT1M2S,1099975,18599,171,youtube,46
아누누_20250718,해외 인스턴트 초코케익 3대장,,아누누,2025-07-18,PT1M4S,200584,3824,51,youtube,845
아누누_20250715,다른 과일 아이스크림도 찾았는데 글쎄,,아누누,2025-07-15,PT1M2S,483756,8753,35,youtube,249
아누누_20250714,몽골에서 찾은 납작복숭아와 요거트,,아누누,2025-07-14,PT1M5S,190968,4419,38,youtube,523
아누누_20250712,드디어 먹은 해외에서 핫한 과일모양 아이스크림,,아누누,2025-07-12,PT1M10S,468093,12027,74,youtube,249
아누누_20250710,과유불급이 된 수박 화채,,아누누,2025-07-10,PT1M19S,190811,3550,32,youtube,109
아누누_20250709,궁채 땋기 찐 소스로 다시 만들어 봄,,아누누,2025-07-09,PT1M3S,368115,6233,43,youtube,264
아누누_20250708,씨 없는 수박이 실재하다고?,,아누누,2025-07-08,PT1M2S,497875,8884,109,youtube,109
아누누_20250706,신상 초코퐁당 구름크림떡 먹어보기,,아누누,2025-07-06,PT1M5S,264063,5207,41,youtube,845
