VIDEO_ID,KEYWORD_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
홍지_hongji_20250625,1,(광고)육즙 가득! 통실한 통새우만두+비빔면🦐#asmr #asmrmukbang #먹방 #비비고만두 #비비고새우만두 #얇은피만두 #고기만두 #bibigo #bibigomando,,홍지 HONGJI,2025-06-25,PT1M30S,1494,23,2,youtube
홍지_hongji_20250624,1,에어컨+수박=여름 극락 조합🍉#asmr #mukbang #asmrmukbang #먹방 #eatingshow #watermelon #watermelonpunch #수박 #과일먹방,,홍지 HONGJI,2025-06-24,PT1M28S,1706,16,5,youtube
홍지_hongji_20250622,16,제주도 가면 이 집 빵 드셔보실래요..?🤤#진진제과 #asmr #mukbang #asmrmukbang #eatingshow #dessert #빵지순례 #제주빵지순례 #제주도빵집,,홍지 HONGJI,2025-06-22,PT1M30S,2258,29,3,youtube
홍지_hongji_20250621,1,(광고) 오도독! 제대로인 봄날엔 초코퐁당 구름크림떡☁️ #asmr #mukbang #asmrmukbang #먹방 #eatingshow #디저트 #떡 #떡먹방 #초코퐁당구름크림떡,,홍지 HONGJI,2025-06-21,PT1M20S,3753,48,10,youtube
홍지_hongji_20250620,16,부산 최애 구움과자집 공개••🤤#asmr #mukbang #asmrmukbang #eatingshow #dessert #빵지순례 #구움과자 #구움과자맛집 #휘낭시에 #구구콘,,홍지 HONGJI,2025-06-20,PT1M15S,2322,50,3,youtube
홍지_hongji_20250618,16,명란마요소금빵 1등은 여기야 진짜루🤤 #asmr #mukbang #asmrmukbang #eatingshow #dessert #saltbread #소금빵 #빵지순례 #천안빵집,,홍지 HONGJI,2025-06-18,PT1M26S,3394,58,9,youtube
홍지_hongji_20250616,1,쫀득빵 맛집 찾아부렀네.. 미친 두바이까지🤎#asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #디저트 #빵지순례 #쫀득빵 #모찌빵,,홍지 HONGJI,2025-06-16,PT1M30S,2279,37,6,youtube
홍지_hongji_20250615,1,가장 요청 많았던 남자친구표 간장새우장 3탄🦐#asmr #mukbang #asmrmukbang #먹방 #eatingshow #rawshrimp #homefood #간장새우장,,홍지 HONGJI,2025-06-15,PT1M21S,1858,31,3,youtube
홍지_hongji_20250614,1,"(광고) 자두러버라면 라라스윗 신상 꼭 먹기,,🌟 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #icecream #아이스크림 #라라스윗신상",,홍지 HONGJI,2025-06-14,PT1M24S,1758,22,11,youtube
홍지_hongji_20250613,1,인천 벽돌케이크 여기 가세요!!🧱🍫 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #빵지순례 #yaspastachocolate,,홍지 HONGJI,2025-06-13,PT1M29S,716,17,6,youtube
홍지_hongji_20250612,1,통연어는 잡고 뜯어줘야 제맛😋무슨 소스가 제일 맛있게요?#asmr #mukbang #asmrmukbang #먹방 #eatingshow #salmon #buldak #연어 #불닭,,홍지 HONGJI,2025-06-12,PT1M29S,1597,37,3,youtube
홍지_hongji_20250611,1,여름 최고 보양식 통수박화채🍉 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #수박 #watermelon #watermelonpunch #화채,,홍지 HONGJI,2025-06-11,PT1M24S,2246,22,8,youtube
홍지_hongji_20250610,16,"저장하세요. 인생 소금빵집 여기로 할게요,,✨ #asmr #mukbang #asmrmukbang #eatingshow #dessert #saltbread #빵지순례 #대구빵집",,홍지 HONGJI,2025-06-10,PT1M30S,739,21,3,youtube
홍지_hongji_20250609,1,단면이 말해주는 개쩌는 두바이수건케이크💚 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #두바이수건케이크 #두바이초코 #디저트,,홍지 HONGJI,2025-06-09,PT1M14S,5747,146,9,youtube
홍지_hongji_20250608,1,중국먹방에서만 보던 우유말먹빵이 CU신상으로!🍞 #asmr #mukbang #asmrmukbang #eatingshow #dessert #식빵 #먹방 #편의점신상 #신상리뷰,,홍지 HONGJI,2025-06-08,PT1M29S,755,14,7,youtube
홍지_hongji_20250607,1,인생 카스테라 영접..🤤#치즈당 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #카스테라 #대왕카스테라 #크림빵 #황치즈 #초코,,홍지 HONGJI,2025-06-07,PT1M29S,2201,66,11,youtube
홍지_hongji_20250606,1,부산 빵순이들은 다 아는(?) 랍스타빵🦞#무디브레드마켓 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #아라고스타 #빵지순례,,홍지 HONGJI,2025-06-06,PT1M29S,707,18,6,youtube
홍지_hongji_20250605,1,더운 날엔 역시 수박화채가 최고야🍉 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #watermelonpunch #수박화채,,홍지 HONGJI,2025-06-05,PT1M14S,1161,25,5,youtube
홍지_hongji_20250604,1,두바이쫀득쿠키 원탑 아니냐고요.. 단면 좀 봐🥹 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #두바이초콜릿 #두바이쫀득쿠키 #쫀득쿠키,,홍지 HONGJI,2025-06-04,PT1M27S,6022,136,6,youtube
홍지_hongji_20250603,1,지락실 안 봤어도 불닭레시피는 꼭 해먹기🥹 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #buldak #불닭 #불닭레시피 #야식 #지구오락실,,홍지 HONGJI,2025-06-03,PT1M28S,1621,25,12,youtube
홍지_hongji_20250602,1,진짜 역대급 벽돌같은 두바이초콜릿 뺑스위스🍫 #asmr #mukbang #asmrmukbang #eatingshow #dessert #먹방 #뺑스위스 #두바이초콜릿 #성수동카페,,홍지 HONGJI,2025-06-02,PT1M15S,2009,33,2,youtube
홍지_hongji_20250601,1,여수언니 초코퐁당 초코초꾸떡 미쳤다ㅠ🤎🍫 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #디저트 #떡 #떡먹방 #초코퐁당초코초꾸떡 #봄날엔,,홍지 HONGJI,2025-06-01,PT1M24S,4630,55,8,youtube
홍지_hongji_20250531,1,빵순이는 다 아는 콩볼모음.zip #쭈롱베이커리#삐토베이커리 #봉쓰놀라#쑤니맘베이커리#asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert,,홍지 HONGJI,2025-05-31,PT1M16S,2226,27,3,youtube
홍지_hongji_20250530,1,"노브랜드 추천템! 1,480원 가성비 떡마리🌟#asmr #mukbang #asmrmukbang #먹방 #eatingshow #떡먹방 #떡마리 #koreanfood #tteok",,홍지 HONGJI,2025-05-30,PT1M11S,2219,35,4,youtube
홍지_hongji_20250529,1,2탄) 대전 갔다가 구움과자 신세계를 찾아버려✨ #eatingshow #dessert #먹방 #구움과자 #휘낭시에 #에그타르트 #까눌레 #대전빵지순례 #asmr #정동문화사,,홍지 HONGJI,2025-05-29,PT1M19S,1749,35,4,youtube
홍지_hongji_20250529,1,1탄) 대전 갔다가 구움과자 신세계를 찾아버려✨ #eatingshow #dessert #먹방 #구움과자 #휘낭시에 #에그타르트 #까눌레 #대전빵지순례 #asmr #정동문화사,,홍지 HONGJI,2025-05-29,PT1M27S,1757,35,8,youtube
홍지_hongji_20250528,1,육비라면 원조(?)보다 맛있을까? #asmr #mukbang #asmrmukbang #먹방 #eatingshow #육회 #육회비빔라면 #비빔면 #koreanfood #배홍동비빔면,,홍지 HONGJI,2025-05-28,PT1M27S,604,15,4,youtube
홍지_hongji_20250527,1,비요뜨 초코링 양이 적어서 초코링을 왕창 사버림🍩 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #비요뜨초코링 #요거트 #요거트볼 #yogurt,,홍지 HONGJI,2025-05-27,PT1M28S,632,20,5,youtube
홍지_hongji_20250525,1,스텔라 짜장떡볶이 맛집인 거 나만 몰랐지ㅠ #asmr #mukbang #asmrmukbang #먹방 #짜장떡볶이 #탕수육 #파김치 #tteokbokki #koreanfood,,홍지 HONGJI,2025-05-25,PT1M24S,948,19,6,youtube
홍지_hongji_20250523,1,"대전 가면 꼭 먹어야 하는 1,800원 과일모찌🍓#asmr #mukbang #asmrmukbang #먹방 #찹쌀떡 #모찌 #과일모찌 #dessert #eatingshow",,홍지 HONGJI,2025-05-23,PT1M27S,3694,116,9,youtube
홍지_hongji_20250521,1,성심당 빵 먹빵 🍞 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #빵지순례 #빵먹방 #대전빵지순례 #빵맛집 #디저트 #dessert,,홍지 HONGJI,2025-05-21,PT1M29S,1720,22,3,youtube
홍지_hongji_20250519,1,찹쌀떡에 바치케를 넣어 먹어요..?🍡🍰 #asmr #mukbang #asmrmukbang #먹방 #찹쌀떡 #치즈케이크 #모찌 #eatingshow #cheesecake,,홍지 HONGJI,2025-05-19,PT1M23S,2398,32,4,youtube
홍지_hongji_20250517,1,초코순이라면 요월 신메뉴 꼭 잡솨봐🍫#asmr #mukbang #asmrmukbang #먹방 #두바이초코 #디저트 #dessert #dubaichocolate #icecream,,홍지 HONGJI,2025-05-17,PT1M30S,1476,19,5,youtube
홍지_hongji_20250515,1,남자친구가 집에서 통닭을 튀겨줘요🍗 #asmr #mukbang #asmrmukbang #먹방 #치킨 #통닭 #koreanfood #chicken #집밥 #homefood #야식,,홍지 HONGJI,2025-05-15,PT1M31S,1506,20,5,youtube
홍지_hongji_20250513,1,나 진지해요. 외우세요. 성심당 가면 망고롤!!!!🥭#asmr #mukbang #먹방 #케이크 #케이크먹방 #디저트 #롤케이크 #망고롤 #망고시루 #성심당케익부띠끄 #cake,,홍지 HONGJI,2025-05-13,PT1M34S,5089,54,3,youtube
