KEYWORD_ID,KEYWORD_NAME,KEYWORDUP,MENTION_CNT
476,이케아,이케아,2
477,전기밥솥,전기밥솥,1
478,전어,전어,1
479,젖병,젖병,2
480,조개탕후루,조개탕후루,1
481,조리기구,조리기구,1
482,조리법,조리법,1
483,조림,조림,1
484,족발,족발,3
485,주먹밥,주먹밥,2
486,중국집,중국집,1
487,중식,중식,1
488,쥬스,쥬스,3
489,지방,지방,1
490,짜장라면,짜장라면,2
491,짬뽕,짬뽕,2
492,참치,참치,3
493,청포묵,청포묵,1
494,체굴,체굴,1
495,초코쿠키,초코쿠키,4
496,초콜릿공장,초콜릿공장,1
497,취두부,취두부,1
498,취사,취사,1
499,카라멜,카라멜,3
500,카스타드,카스타드,1
501,컵밥,컵밥,2
502,컵케이크,컵케이크,2
503,케첩,케첩,1
504,콘,콘,2
505,쿠킹호일,쿠킹호일,1
506,타르트,타르트,1
507,태깡,태깡,1
508,토마토주스,토마토주스,1
509,투게더,투게더,2
510,포카,포카,1
511,포카칩,포카칩,1
512,푸룬주스,푸룬주스,1
513,피,피,5
514,피자스쿨,피자스쿨,1
515,핫소스,핫소스,1
516,핫케익,핫케익,1
517,해먹,해먹,3
518,호두과자,호두과자,2
519,호빵,호빵,2
520,갈기,갈기,1
521,거미,거미,1
522,걸레,걸레,1
523,계란노른자,계란노른자,1
524,계란빵,계란빵,1
525,계란찜,계란찜,2
526,과유,과유,1
527,국뽕,국뽕,1
528,금귤,금귤,2
529,꽈리,꽈리,2
530,녹차,녹차,1
531,다시마,다시마,1
532,단백,단백,2
533,대식,대식,1
534,대추,대추,1
535,두부김치,두부김치,1
536,뚝배기,뚝배기,1
537,라핑탕,라핑탕,1
538,마끼아또,마끼아또,1
539,맛나,맛나,1
540,맛남샌드,맛남샌드,1
541,매실,매실,1
542,맥심,맥심,1
543,머핀,머핀,1
544,먹스나,먹스나,1
545,먹스나님,먹스나님,2
546,먹어봤슈,먹어봤슈,1
547,먹음,먹음,4
548,미라클,미라클,1
549,밀키스,밀키스,1
550,바나나빵,바나나빵,1
551,밥맛,밥맛,1
552,밥알,밥알,1
553,베리,베리,2
554,분유,분유,1
555,상품,상품,1
556,소라빵,소라빵,2
557,슈크림,슈크림,2
558,식단,식단,1
559,쑥떡,쑥떡,1
560,에스프레소,에스프레소,2
561,우동,우동,3
562,이유식,이유식,1
563,절임,절임,1
564,접시,접시,1
565,쥬레,쥬레,1
566,쥬시,쥬시,1
567,찜통,찜통,1
568,착즙,착즙,1
569,청양고추,청양고추,2
570,청포도,청포도,1
571,초코바나나,초코바나나,1
572,초코우유,초코우유,3
573,초코케익,초코케익,1
574,치,치,4
575,침수,침수,1
576,카카오,카카오,2
